Name,Title,Xaxis,Yaxis,Options
d13-x01-y01,Au+Au $K^+/\pi^+$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d13-x01-y02,Au+Au $K^+/\pi^+$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d13-x01-y03,Au+Au $K^+/\pi^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d13-x01-y04,Au+Au $K^+/\pi^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d13-x01-y05,Au+Au $K^+/\pi^+$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d13-x01-y06,Au+Au $K^-/\pi ^-$ $0-10%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d13-x01-y07,Au+Au $K^-/\pi ^-$ $10-20%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d13-x01-y08,Au+Au $K^-/\pi ^-$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d13-x01-y09,Au+Au $K^-/\pi ^-$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d13-x01-y10,Au+Au $K^-/\pi ^-$ $60-92%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d14-x01-y01,d+Au $K^+/\pi^+$ $0-20%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d14-x01-y02,d+Au $K^+/\pi^+$ $0-100%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d14-x01-y03,d+Au $K^+/\pi^+$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d14-x01-y04,d+Au $K^+/\pi^+$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d14-x01-y05,d+Au $K^+/\pi^+$ $60-88%$ centrality,$p_T$ (GeV/$c$),Ratio $K^+/\pi^+$,LogY=<0>
d14-x01-y06,d+Au $K^-/\pi ^-$ $0-20%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d14-x01-y07,d+Au $K^-/\pi ^-$ $10-100%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d14-x01-y08,d+Au $K^-/\pi ^-$ $20-40%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d14-x01-y09,d+Au $K^-/\pi ^-$ $40-60%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
d14-x01-y10,d+Au $K^-/\pi ^-$ $60-88%$ centrality,$p_T$ (GeV/$c$),Ratio $K^-/\pi ^-$,LogY=<0>
